hangul,kanji,font0_slot_index,font0_page,font0_u0,font0_v0,font1_slot_index,font1_page,font1_u0,font1_v0,code_hex_font0,code_hex_font1
뜅,日,2161,1,0.901319,0.417684,1231,11,0.483635,0.56424,0x00E697A5,0x00E697A5
뜨,囲,48,0,0.945286,0.373718,20,3,0.56424,0.161212,0x00E59BB2,0x00E59BB2
뜩,乳,2162,1,0.923302,0.417684,1232,11,0.56424,0.56424,0x00E4B9B3,0x00E4B9B3
뜬,入,2163,1,0.945286,0.417684,1233,11,0.644846,0.56424,0x00E585A5,0x00E585A5
뜯,如,2164,1,0.967269,0.417684,1234,11,0.725452,0.56424,0x00E5A682,0x00E5A682
뜰,任,2167,1,0.043967,0.439668,1235,11,0.806058,0.56424,0x00E4BBBB,0x00E4BBBB
뜸,忍,2169,1,0.087934,0.439668,1236,11,0.886663,0.56424,0x00E5BF8D,0x00E5BF8D
뜹,認,2170,1,0.109917,0.439668,1237,11,0,0.644846,0x00E8AA8D,0x00E8AA8D
뜻,初,1296,1,0.681485,0,736,8,0.241817,0.161212,0x00E5889D,0x00E5889D
띄,司,1077,0,0.813385,0.879336,603,7,0.161212,0.241817,0x00E58FB8,0x00E58FB8
띈,濡,2171,1,0.1319,0.439668,1238,11,0.080606,0.644846,0x00E6BFA1,0x00E6BFA1
띌,寧,2174,1,0.197851,0.439668,1239,11,0.161212,0.644846,0x00E5AFA7,0x00E5AFA7
띔,猫,2176,1,0.241817,0.439668,1240,11,0.241817,0.644846,0x00E78CAB,0x00E78CAB
띕,熱,2177,1,0.263801,0.439668,1241,11,0.322423,0.644846,0x00E786B1,0x00E786B1
띠,蒸,1405,1,0.109917,0.06595,795,8,0.161212,0.56424,0x00E892B8,0x00E892B8
띤,年,2178,1,0.285784,0.439668,1242,11,0.403029,0.644846,0x00E5B9B4,0x00E5B9B4
띨,念,2179,1,0.307767,0.439668,1243,11,0.483635,0.644846,0x00E5BFB5,0x00E5BFB5
띰,燃,2182,1,0.373718,0.439668,1244,11,0.56424,0.644846,0x00E78783,0x00E78783
띱,悩,2189,1,0.527601,0.439668,1245,11,0.644846,0.644846,0x00E682A9,0x00E682A9
띳,濃,2190,1,0.549585,0.439668,1246,11,0.725452,0.644846,0x00E6BF83,0x00E6BF83
띵,納,2191,1,0.571568,0.439668,1247,11,0.806058,0.644846,0x00E7B48D,0x00E7B48D
라,悪,14,0,0.197851,0.373718,5,3,0.322423,0.080606,0x00E682AA,0x00E682AA
락,細,998,0,0.06595,0.857352,562,6,0.725452,0.886663,0x00E7B4B0,0x00E7B4B0
란,騎,490,0,0.769419,0.593552,259,4,0.483635,0.806058,0x00E9A88E,0x00E9A88E
랄,能,2192,1,0.593552,0.439668,1248,11,0.886663,0.644846,0x00E883BD,0x00E883BD
람,串,655,0,0.439668,0.681485,362,5,0.080606,0.56424,0x00E4B8B2,0x00E4B8B2
랍,脳,2193,1,0.615535,0.439668,1249,11,0,0.725452,0x00E884B3,0x00E884B3
랏,農,2195,1,0.659502,0.439668,1250,11,0.080606,0.725452,0x00E8BEB2,0x00E8BEB2
랐,助,1308,1,0.945286,0,741,8,0.644846,0.161212,0x00E58AA9,0x00E58AA9
랑,郷,596,0,0.1319,0.659502,328,5,0.241817,0.322423,0x00E983B7,0x00E983B7
랒,覗,2196,1,0.681485,0.439668,1251,11,0.161212,0.725452,0x00E8A697,0x00E8A697
랖,把,2199,1,0.747435,0.439668,1252,11,0.241817,0.725452,0x00E68A8A,0x00E68A8A
랗,辱,1422,1,0.483635,0.06595,805,8,0,0.644846,0x00E8BEB1,0x00E8BEB1
래,吃,512,0,0.263801,0.615535,272,4,0.56424,0.886663,0x00E59083,0x00E59083
랙,覇,2201,1,0.791402,0.439668,1253,11,0.322423,0.725452,0x00E8A687,0x00E8A687
랜,場,1393,1,0.835369,0.043967,788,8,0.56424,0.483635,0x00E5A0B4,0x00E5A0B4
랠,波,2203,1,0.835369,0.439668,1254,11,0.403029,0.725452,0x00E6B3A2,0x00E6B3A2
램,酒,1211,0,0.791402,0.945286,686,7,0.080606,0.806058,0x00E98592,0x00E98592
랩,派,2204,1,0.857352,0.439668,1255,11,0.483635,0.725452,0x00E6B4BE,0x00E6B4BE
랫,破,2206,1,0.901319,0.439668,1256,11,0.56424,0.725452,0x00E7A0B4,0x00E7A0B4
랬,馬,2210,1,0,0.461651,1257,11,0.644846,0.725452,0x00E9A6AC,0x00E9A6AC
랭,消,1352,1,0.923302,0.021983,765,8,0.644846,0.322423,0x00E6B688,0x00E6B688
랴,廃,2212,1,0.043967,0.461651,1258,11,0.725452,0.725452,0x00E5BB83,0x00E5BB83
략,迎,721,0,0.901319,0.703469,396,5,0.886663,0.725452,0x00E8BF8E,0x00E8BF8E
랸,拝,2213,1,0.06595,0.461651,1259,11,0.806058,0.725452,0x00E68B9D,0x00E68B9D
럇,排,2214,1,0.087934,0.461651,1260,11,0.886663,0.725452,0x00E68E92,0x00E68E92
량,駕,268,0,0.835369,0.483635,139,4,0.483635,0,0x00E9A795,0x00E9A795
러,暗,38,0,0.725452,0.373718,13,3,0,0.161212,0x00E69A97,0x00E69A97
럭,敗,2215,1,0.109917,0.461651,1261,11,0,0.806058,0x00E69597,0x00E69597
런,佐,961,0,0.241817,0.835369,537,6,0.644846,0.725452,0x00E4BD90,0x00E4BD90
럴,砂,970,0,0.439668,0.835369,542,6,0.080606,0.806058,0x00E7A082,0x00E7A082
럼,骨,939,0,0.747435,0.813385,524,6,0.56424,0.644846,0x00E9AAA8,0x00E9AAA8
럽,讃,1065,0,0.549585,0.879336,596,7,0.56424,0.161212,0x00E8AE83,0x00E8AE83
럿,杯,2216,1,0.1319,0.461651,1262,11,0.080606,0.806058,0x00E69DAF,0x00E69DAF
렀,盃,2217,1,0.153884,0.461651,1263,11,0.161212,0.806058,0x00E79B83,0x00E79B83
렁,襲,1240,0,0.439668,0.967269,707,7,0.806058,0.886663,0x00E8A5B2,0x00E8A5B2
렇,紹,1367,1,0.263801,0.043967,774,8,0.403029,0.403029,0x00E7B4B9,0x00E7B4B9
레,嫁,228,0,0.945286,0.461651,115,3,0.483635,0.806058,0x00E5AB81,0x00E5AB81
렉,研,759,0,0.747435,0.725452,425,6,0.322423,0,0x00E7A094,0x00E7A094
렌,傑,729,0,0.087934,0.725452,402,5,0.403029,0.806058,0x00E58291,0x00E58291
렐,背,2219,1,0.197851,0.461651,1264,11,0.241817,0.806058,0x00E8838C,0x00E8838C
렘,輩,2221,1,0.241817,0.461651,1265,11,0.322423,0.806058,0x00E8BCA9,0x00E8BCA9
렙,配,2222,1,0.263801,0.461651,1266,11,0.403029,0.806058,0x00E9858D,0x00E9858D
렛,砕,994,0,0.967269,0.835369,559,6,0.483635,0.886663,0x00E7A095,0x00E7A095
렝,倍,2223,1,0.285784,0.461651,1267,11,0.483635,0.806058,0x00E5808D,0x00E5808D
